Well plate	ID_sample	FullIDOld	Site	Sector	PlantOld	Leaf	Succession	PitcherLength	KeelWidth	PitcherWidth	MouthWidth	Comments	FreshMass	DryMass
B8	272	LV-1-2-11-L	LV	1	2	11	L	15.5	4.6	2.4	1.74		2.347	0.498
E9	271	LV-1-2-12-L	LV	1	2	12	L	18.8	5.3	2.7	1.91		3.223	0.603
C7	270	LV-1-2-13-L	LV	1	2	13	L	13.5	3.8	1.9	1.36		1.502	0.284
G9	262	LV-1-3-1-L	LV	1	3	1	L	19	6.1	3.6	2.71		4.503	0.903
G7	261	LV-1-3-2-E	LV	1	3	2	E	13	4.1	2.6	1.89		1.97	0.364
C9	260	LV-1-3-3-L	LV	1	3	3	L	17.8	5.5	3.2	2.58		4.137	0.854
G4	259	LV-1-3-4-E	LV	1	3	4	E	15.7	4.5	3	1.95		3.143	0.547
G2	258	LV-1-3-5-E	LV	1	3	5	E	13	3.6	2.1	1.68		1.822	0.371
D6	267	LV-1-3-6-L	LV	1	3	6	L	20.5	6	3.5	2.98		4.797	0.986
B10	266	LV-1-3-7-L	LV	1	3	7	L	16	4.5	2.1	1.71		2.679	0.53
B9	265	LV-1-3-8-E	LV	1	3	8	E	16.5	4.9	3.1	2.09		3.235	0.632
H5	264	LV-1-3-9-L	LV	1	3	9	L	17	4.7	2.7	2.04		2.797	0.546
H6	263	LV-1-3-10-E	LV	1	3	10	E	12.6	3.7	2.2	1.25		1.955	0.347
C8	269	LV-1-3-14-E	LV	1	3	14	E	12.1	3.7	2.8	1.57		1.803	0.33
E11	268	LV-1-3-15-E	LV	1	3	15	E	14.7	4	2.6	1.76		2.482	0.453
D11	277	LV-1-3-16-E	LV	1	3	16	E	16.4	4.6	2.5	1.9		2.961	0.591
F4	276	LV-2-7-1-L	LV	2	7	1	L	13.9	4.3	2	1.825		2.174	0.501
D9	275	LV-2-7-2-E	LV	2	7	2	E	11.3	3.4	1.6	1		1.297	0.28
D8	274	LV-2-7-3-L	LV	2	7	3	L	16	5.1	2.7	1.73		2.66	0.56
F11	273	LV-2-7-4-L	LV	2	7	4	L	20	5.6	3	2.28		4.288	0.823
C6	282	LV-2-7-5-E	LV	2	7	5	E	11.7	3.6	2.4	1.25		1.933	0.356
B4	281	LV-2-7-6-L	LV	2	7	6	L	15.4	5.1	2.8	2.27		3.487	0.788
C10	280	LV-2-7-7-L	LV	2	7	7	L	16	5.1	3	2.42		3.451	0.744
F6	279	LV-2-7-8-E	LV	2	7	8	E	8.5	2.6	1.1	0.49		0.684	0.124
E7	278	LV-2-7-9-E	LV	2	7	9	E	12.4	3.4	1.8	0.54		1.867	0.382
F10	301	LV-2-7-10-E	LV	2	7	10	E	10.3	3.2	1.8	1.21		1.339	0.267
D7	302	LV-2-7-11-L	LV	2	7	11	L	12.7	4.4	2.2	1.76		2.309	0.489
C11	303	LV-2-7-12-L	LV	2	7	12	L	15.3	4.4	2.6	1.73		2.44	0.503
D5	304	LV-2-7-13-L	LV	2	7	13	L	15.8	4.6	2.8	1.82		2.89	0.681
B7	305	LV-2-8-14-E	LV	2	8	14	E	14.3	4.3	2.3	1.59		2.326	0.488
B2	298	LV-2-8-15-E	LV	2	8	15	E	17.3	5.6	3.5	2.37		3.948	0.73
G6	299	LV-2-8-16-E	LV	2	8	16	E	14.1	4	1.8	1.67		2.288	0.462
E2	289	LV-3-10-8-L	LV	3	10	8	L	11.9	3.5	2.1	1.33		1.501	0.326
C4	290	LV-3-10-9-L	LV	3	10	9	L	10.7	3.3	1.8	1.37		1.198	0.263
H8	291	LV-3-10-10-L	LV	3	10	10	L	7.7	2.2	1	0.84		0.469	0.098
F9	292	LV-3-10-11-L	LV	3	10	11	L	11.2	3.4	1.9	1.16	broken mouth	1.19	0.229
